municipio,domicilios,domicilios_crianca_fora_da_escola,domicilios_crianca_com_atraso_escolar,domicilios_com_trabalho_infantil,criancas_ate_11_anos,criancas_ate_11_anos_pobres_vulneraveis
Padre Carvalho,1406,117,98,80,1457,1076
Padre Paraíso,5016,258,471,170,4060,2723
Paineiras,1688,33,73,29,648,379
Pains,2677,26,31,46,1174,292
Pai Pedro,1640,103,124,33,1218,957
Paiva,525,9,9,7,188,73
Palma,2067,26,77,3,953,431
Palmópolis,2079,103,204,98,1328,963
Papagaios,4090,163,247,75,2969,1590
Paracatu,24042,542,500,207,17129,6177
Pará de Minas,26023,156,273,101,13931,2051
Paraguaçu,6389,77,110,24,3253,924
Paraisópolis,6460,98,145,50,3181,810
Paraopeba,6742,125,265,131,4125,1694
Passabém,559,5,39,14,267,176
Passa Quatro,4864,57,81,39,2606,853
Passa Tempo,2750,32,84,17,1141,436
Passa Vinte,702,6,50,14,325,163
Passos,33750,327,356,190,17203,3053
Patis,1526,95,103,40,1152,945
Patos de Minas,45985,345,287,307,21734,3936
Patrocínio,26022,391,449,261,15122,4517
Patrocínio do Muriaé,1798,6,44,19,812,245
Paula Cândido,2700,54,169,42,1583,876
Paulistas,1347,59,124,73,1002,753
Pavão,2501,115,141,63,1642,1055
Peçanha,4942,265,368,123,3616,2641
Pedra Azul,6646,216,471,102,5206,2705
Pedra Bonita,1780,110,139,147,1561,1184
Pedra do Anta,1083,14,45,20,512,275
Pedra do Indaiá,1327,20,15,36,580,259
Pedra Dourada,680,12,40,16,413,260
Pedralva,3467,84,151,92,1990,1181
Pedras de Maria da Cruz,2726,145,250,62,2207,1679
Pedrinópolis,1137,14,38,13,626,198
Pedro Leopoldo,17661,211,371,114,9870,3123
Pedro Teixeira,586,7,29,7,301,165
Pequeri,1088,9,40,8,516,167
Pequi,1334,34,59,20,680,298
Perdigão,2736,69,61,56,1657,423
Perdizes,4514,112,120,58,2810,1042
Perdões,6398,50,36,29,3132,661
Periquito,2011,76,84,22,1516,651
Pescador,1220,15,61,21,820,440
Piau,939,18,50,19,407,196
Piedade de Caratinga,2149,108,64,107,1533,1018
Piedade de Ponte Nova,1175,7,28,4,776,303
Piedade do Rio Grande,1616,6,44,26,726,328
Piedade dos Gerais,1562,40,123,66,700,520
Pimenta,2727,30,72,10,1301,420
Pingo-d'Água,1303,19,28,3,908,269
Pintópolis,1858,78,224,77,1767,1444
Piracema,2150,42,65,27,967,446
Pirajuba,1519,15,22,7,848,203
Piranga,4623,248,437,91,3254,2662
Piranguçu,1647,48,73,18,836,372
Piranguinho,2435,33,106,27,1373,595
Pirapetinga,3503,26,81,18,1567,484
Pirapora,15461,198,609,106,10241,4798
Piraúba,3502,88,96,52,1597,629
Pitangui,7731,136,57,69,4612,1176
Piumhi,10915,76,143,102,4777,1215
Planura,3297,27,48,37,1935,302
Poço Fundo,5176,153,112,94,2488,1277
Poços de Caldas,50978,180,315,103,23246,2563
Pocrane,3037,69,49,73,1404,724
Pompéu,8659,205,350,188,5634,2389
Ponte Nova,18388,266,465,99,9173,2848
Ponto Chique,1105,47,115,46,881,672
Ponto dos Volantes,3067,191,312,198,2747,2366
Porteirinha,11102,493,378,372,6750,4682
Porto Firme,2885,49,167,68,1616,1055
Poté,4591,205,364,179,3306,2501
Pouso Alegre,41273,380,506,217,21054,3873
Pouso Alto,2051,26,89,19,863,393
Prados,2646,80,67,25,1411,437
Prata,8520,163,252,142,4692,1793
Pratápolis,3108,33,42,9,1269,199
Pratinha,1136,17,15,7,467,186
Presidente Bernardes,1618,35,122,33,1003,742
Presidente Juscelino,1177,49,63,42,677,467
